chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_biomass.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Other biomass,charts/esto__14_02__Construction__Energy_balance__PJ__Other_biomass.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_liquid_biofuels.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Other liquid biofuels,charts/esto__14_02__Construction__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_sources.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Other sources,charts/esto__14_02__Construction__Energy_balance__PJ__Other_sources.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Others.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Others,charts/esto__14_02__Construction__Energy_balance__PJ__Others.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Solid_biomass.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Solid biomass,charts/esto__14_02__Construction__Energy_balance__PJ__Solid_biomass.html,sec-Industry__Construction,Construction,direct
chart::charts/aggregate__Industry_sector__Manufacturing__Energy_balance__PJ__Total.html,Industry > Manufacturing,Manufacturing,Energy balance (PJ),Total,charts/aggregate__Industry_sector__Manufacturing__Energy_balance__PJ__Total.html,sec-Industry_sector__Manufacturing,Manufacturing,aggregate
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Anthracite.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Anthracite,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Anthracite.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Aviation_gasoline.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Aviation gasoline,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Aviation_gasoline.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bagasse.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bagasse,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bagasse.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biodiesel.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biodiesel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biodiesel.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogas.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biogas,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogas.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogasoline.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biogasoline,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogasoline.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bitumen.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bitumen,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bitumen.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Black_liqour.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Black liqour,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Charcoal.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Charcoal,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Coal_nonspecified.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Electricity,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Ethane.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Ethane,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Ethane.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuel_oil.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Fuel oil,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuel_oil.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
