economy,scenario,region,sheet_name,sector_code_9th,sector_name,fuel_label,year,leap_value,leap_variable,leap_units,measure,leap_scale_note,ninth_fuel_code,esto_flow,esto_product,source_sheet,source_workbook,leap_sector,leap_fuel,leap_sector_name,leap_fuel_name
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2035,218.87792610927832,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2035,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2036,222.07545141127756,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2036,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2037,225.22275195654018,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2037,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2038,228.3195160857866,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2038,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2039,231.36544434930516,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2039,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2040,234.36024887957217,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2040,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2041,237.30365360791075,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2041,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2042,240.1953940832494,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2042,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2043,243.0352170153691,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2043,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2044,245.8228806218511,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2044,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2045,248.55815375316504,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2045,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2046,251.24081639839213,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2046,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2047,253.87065927172344,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2047,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
